shop_id,name,lat,lon,address,category,mood_tag,phone,website
fb001,Pearl & Petal Tea House,38.9072,-77.0369,"1200 U St NW, Washington",Boba / Milk Tea,Cozy,202-555-0101,
fb002,Snowdrift Mochi Bar,38.9047,-77.0164,"400 H St NE, Washington",Dessert,Sweet,202-555-0102,
fb003,Lychee Lane,38.8951,-77.0364,"900 F St NW, Washington",Boba / Milk Tea,Refreshing,202-555-0103,
fb004,Golden Bubble Cafe,38.8462,-77.3064,"8500 Leesburg Pike, Vienna",Cafe / Tea,Cozy,703-555-0104,
fb005,Taro Cloud Tea Co.,38.9186,-77.2311,"7300 Wisconsin Ave, Bethesda",Boba / Milk Tea,Sweet,301-555-0105,
fb006,Fresh Press Fruit Tea,38.8339,-77.3053,"11700 Plaza America Dr, Reston",Boba / Milk Tea,Refreshing,703-555-0106,
fb007,Rice Cake Robin,38.9807,-76.9369,"6200 Baltimore Ave, Riverdale Park",Dessert,Sweet,301-555-0107,
fb008,Honeydew & Co.,38.6270,-77.2872,"4000 Prince William Pkwy, Woodbridge",Boba / Milk Tea,Refreshing,703-555-0108,
fb009,Cloud Nine Boba,38.8399,-77.1711,"6600 Little River Tpke, Alexandria",Boba / Milk Tea,Cozy,703-555-0109,
fb010,Mochi Meadow,39.0840,-77.1528,"9800 Main St, Fairfax",Dessert,Sweet,703-555-0110,
fb011,Steeped & Sweet,38.9897,-76.9378,"4200 Rhode Island Ave, Hyattsville",Cafe / Tea,Cozy,301-555-0111,
fb012,Whisked Away Tea Bar,38.8048,-77.0469,"3400 Richmond Hwy, Alexandria",Boba / Milk Tea,Refreshing,703-555-0112,
fb013,Ube Dream Dessert House,38.9639,-77.4142,"46200 Potomac Run Plz, Sterling",Dessert,Sweet,703-555-0113,
fb014,Frost & Foam,39.0299,-77.4788,"22700 Shaw Rd, Sterling",Boba / Milk Tea,Refreshing,703-555-0114,
fb015,Amber Pearl Teahouse,38.8776,-77.1076,"4500 King St, Alexandria",Boba / Milk Tea,Cozy,703-555-0115,
fb016,Kirin Sweets,37.5407,-77.4360,"1700 E Broad St, Richmond",Dessert,Sweet,804-555-0116,
fb017,Midtown Milk Tea,37.5580,-77.4599,"2900 W Broad St, Richmond",Boba / Milk Tea,Cozy,804-555-0117,
fb018,Ripple Fruit Tea Bar,37.6688,-77.3861,"11500 Midlothian Tpke, Midlothian",Boba / Milk Tea,Refreshing,804-555-0118,
fb019,Mochi & Milk,36.8529,-76.2859,"200 Granby St, Norfolk",Dessert,Sweet,757-555-0119,
fb020,Tidewater Tea Room,36.8790,-76.2919,"5900 E Virginia Beach Blvd, Norfolk",Cafe / Tea,Cozy,757-555-0120,
fb021,Sandbar Slush Co.,36.8529,-75.9780,"1700 Atlantic Ave, Virginia Beach",Boba / Milk Tea,Refreshing,757-555-0121,
fb022,Coastal Pearl Boba,36.7335,-76.0435,"4500 Virginia Beach Blvd, Virginia Beach",Boba / Milk Tea,Refreshing,757-555-0122,
fb023,Harbor Mochi Market,36.9312,-76.3453,"12300 Jefferson Ave, Newport News",Dessert,Sweet,757-555-0123,
fb024,Warwick Whisk Tea Bar,37.0871,-76.4730,"11000 Jefferson Ave, Newport News",Boba / Milk Tea,Cozy,757-555-0124,
fb025,Riverbend Rice Cakes,37.2707,-76.7075,"400 Duke of Gloucester St, Williamsburg",Dessert,Sweet,757-555-0125,
fb026,Colonial Cup Boba,37.2871,-76.7075,"5000 Monticello Ave, Williamsburg",Boba / Milk Tea,Cozy,757-555-0126,
fb027,Wren Nest Tea House,37.2296,-76.7075,"1234 Richmond Rd, Williamsburg",Cafe / Tea,Cozy,757-555-0127,
fb028,Chesapeake Chill Tea,36.7682,-76.2875,"1400 Greenbrier Pkwy, Chesapeake",Boba / Milk Tea,Refreshing,757-555-0128,
fb029,Hampton Harbor Sweets,37.0299,-76.3452,"1800 W Mercury Blvd, Hampton",Dessert,Sweet,757-555-0129,
fb030,Suffolk Sunrise Boba,36.7282,-76.5836,"5900 Harbour View Blvd, Suffolk",Boba / Milk Tea,Refreshing,757-555-0130,
